"ID","Description","IATA_CODE","FIVE_CODE"
421,"Baku, Azerbaijan: Baku Metropolitan Area","BAK",12050
422,"Baku, Azerbaijan: Heydar Aliyev International","GYD",10482
423,"Balboa, Panama: Albrook AFB","BLB",10659
424,"Balboa, Panama: Panama Pacifico International","HOW",12193
425,"Baldonnel, Ireland: Casement","IE1",12285
426,"Baledogle, Somalia: Baledogle Airport","FVB",11798
427,"Baler, Philippines: Baler Airport","BQA",10729
428,"Bali, Cameroon: Bali Airport","BLC",10660
429,"Balikesir, Turkey: Balikesir Airport","BZI",10848
430,"Balikpapan, Indonesia: Sultan Aji Muhammad Sulaiman Sepinggan","BPN",10726
431,"Ballina, Australia: Ballina Byron Gateway","BNK",10700
432,"Ballinger, TX: Bruce Field","TX4",15396
433,"Balmaceda, Chile: Balmaceda Airport","BBA",10493
434,"Balsas, Brazil: Balsas Airport","BSS",10767
435,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall","BWI",10821
436,"Baltimore, MD: Martin State","MTN",13505
437,"Bamako, Mali: Modibo Keita","BKO",10650
438,"Bambari, Central African Republic: Bambari Airport","BBY",10505
439,"Bamyan, Afghanistan: Bamyan Airport","BIN",10622
440,"Ban Mak Khaeng, Thailand: Udorn AB","BAO",10485
441,"Ban Me Thout, Vietnam: Buon Ma Thuot","BMV",16687
442,"Banda Aceh, Indonesia: Sultan Iskandar Muda","BTJ",10776
443,"Bandar Abbas, Iran: Bandar Abbas International","BND",10695
444,"Bandar Lampung, Indonesia: Branti","TKG",15233
445,"Bandar Lengeh, Iran: Bandar Lengeh Airport","BDH",10525
446,"Bandar Seri Begawan, Brunei: Brunei International","BWN",10824
447,"Bandirma, Turkey: Bandirma Airport","BDM",10530
448,"Bandjarmasin, Indonesia: Syamsudin Noor","BDJ",10527
449,"Bandon, OR: Bandon State","BDY",10538
450,"Bandundu, Congo (Kinshasa): Bandundu Airport","FDU",11658
451,"Bandung, Indonesia: Husein Sastranegara","BDO",10532
452,"Banff, Canada: Banff Airport","YBA",16000
453,"Bangalore, India: Kempegowda International","BLR",10674
454,"Bangassou, Central African Republic: Bangassou Airport","BGU",10584
455,"Bangkok, Thailand: Don Mueang International","DMK",10646
456,"Bangkok, Thailand: Suvarnabhumi International","BKK",13614
457,"Bangor, ME: Bangor International","BGR",10581
458,"Bangui, Central African Republic: Bangui-M'Poko","BGF",10574
459,"Banja Luka, Bosnia and Herzegovina: Banja Luka Airport","BNX",10705
460,"Banjul, The Gambia: Banjul International","BJL",10633
461,"Banning, CA: Banning Municipal","BNG",10698
462,"Bantry, Ireland: Bantry Airport","BYT",10842
463,"Banz, Papua New Guinea: Banz Airport","BNZ",10706
464,"Baoshan, China: Baoshan Airport","BSD",10759
465,"Baotou, China: Baotou Airport","BAV",10490
466,"Bar Harbor, ME: Hancock County-Bar Harbor","BHB",10589
467,"Baracoa, Cuba: Gustavo Rizo","BCA",10507
